N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
1,삼성전자,"60,000",600,+1.01%,100,"3,581,870","5,969,783",49.80,"17,022,187",9.10,13.92,
2,LG에너지솔루션,"563,000","35,000",+6.63%,500,"1,317,420","234,000",4.70,"511,514",935.22,10.68,
3,삼성바이오로직스,"882,000","5,000",+0.57%,"2,500","627,755","71,174",10.68,"48,261",117.30,8.21,
4,SK하이닉스,"83,900","1,200",+1.45%,"5,000","610,794","728,002",50.74,"3,708,458",5.32,16.84,
5,삼성SDI,"760,000","23,000",+3.12%,"5,000","522,610","68,765",46.46,"406,071",35.45,8.45,
6,LG화학,"695,000","69,000",+11.02%,"5,000","490,617","70,592",48.08,"540,838",24.50,18.47,
7,삼성전자우,"53,900",600,+1.13%,100,"443,536","822,887",71.58,"887,221",8.18,N/A,
8,현대차,"164,500",0,0.00%,"5,000","351,484","213,668",29.03,"621,530",7.30,6.84,
9,NAVER,"170,500","1,000",+0.59%,100,"279,704","164,049",49.81,"760,364",27.81,106.72,
10,기아,"66,300",0,0.00%,"5,000","268,756","405,363",37.02,"1,011,105",5.07,14.69,
11,셀트리온,"186,000","6,000",-3.12%,"1,000","261,873","140,792",21.54,"366,987",46.53,16.04,
12,카카오,"50,700",0,0.00%,100,"225,778","445,322",27.54,"1,641,213",10.14,17.10,
13,삼성물산,"120,000","1,500",+1.27%,100,"224,264","186,887",16.77,"187,422",14.29,5.40,
14,POSCO홀딩스,"254,500","5,500",+2.21%,"5,000","215,234","84,571",52.95,"330,984",3.07,13.97,
15,현대모비스,"217,000","2,000",-0.91%,"5,000","204,599","94,285",36.18,"160,447",8.65,6.87,
16,KB금융,"47,300",750,-1.56%,"5,000","193,408","408,897",73.37,"1,014,543",4.18,9.80,
17,신한지주,"36,450",150,+0.41%,"5,000","186,964","512,934",61.56,"961,105",4.53,8.80,
18,SK이노베이션,"182,500","9,500",+5.49%,"5,000","168,750","92,466",25.80,"1,234,300",6.67,1.91,
19,SK,"218,000","4,000",+1.87%,200,"161,646","74,149",22.52,"136,697",4.89,10.19,
20,포스코케미칼,"204,000","4,500",+2.26%,500,"158,025","77,463",8.52,"694,920",115.25,7.92,
21,삼성생명,"67,600",200,+0.30%,500,"135,200","200,000",13.18,"159,718",18.53,4.01,
22,LG전자,"82,600","1,000",+1.23%,"5,000","135,173","163,648",26.18,"603,334",8.10,6.32,
23,LG,"81,400","2,200",+2.78%,"5,000","128,043","157,301",36.18,"167,849",5.59,12.36,
24,KT&G,"92,400","3,300",-3.45%,"5,000","126,858","137,292",43.37,"673,109",11.98,10.74,
25,고려아연,"626,000","14,000",-2.19%,"5,000","124,343","19,863",21.90,"47,366",13.86,11.07,
26,하나금융지주,"41,300",50,+0.12%,"5,000","122,208","295,903",70.79,"755,379",3.53,10.86,
27,한국전력,"17,200",450,+2.69%,"5,000","110,418","641,964",14.38,"1,803,496",-0.71,-7.99,
28,SK텔레콤,"50,200",100,+0.20%,100,"109,854","218,833",46.42,"351,466",8.65,13.63,
29,두산에너빌리티,"15,850","2,600",+19.62%,"5,000","101,172","638,308",11.69,"49,602,676",119.17,10.67,
30,S-Oil,"87,300",900,+1.04%,"2,500","98,285","112,583",81.23,"376,892",4.06,21.76,
31,현대중공업,"110,000","1,000",+0.92%,"5,000","97,650","88,773",5.71,"143,950",-13.22,-14.87,
32,삼성에스디에스,"124,500",500,-0.40%,500,"96,335","77,378",13.55,"72,626",12.66,8.80,
33,삼성화재,"200,500",500,+0.25%,500,"94,987","47,375",50.05,"53,580",8.78,7.09,
34,한화솔루션,"49,100","1,900",+4.03%,"5,000","93,918","191,278",23.66,"3,442,305",27.02,8.79,
35,KT,"35,750",850,-2.32%,"5,000","93,347","261,112",44.20,"733,381",6.49,9.36,
36,HMM,"19,000",100,-0.52%,"5,000","92,918","489,039",9.63,"1,415,673",0.80,88.62,
37,삼성전기,"121,000",0,0.00%,"5,000","90,379","74,694",26.85,"505,840",9.10,14.29,
38,크래프톤,"178,000",500,+0.28%,100,"87,348","49,072",29.33,"92,342",13.83,17.86,
39,대한항공,"23,450",350,+1.52%,"5,000","86,348","368,221",15.55,"1,040,238",5.48,11.60,
40,우리금융지주,"11,750",0,0.00%,"5,000","85,547","728,061",40.60,"1,586,171",2.92,10.59,
41,엔씨소프트,"385,500","4,500",-1.15%,500,"84,633","21,954",43.19,"56,081",16.62,12.62,
42,카카오뱅크,"17,300",200,+1.17%,"5,000","82,458","476,634",12.88,"2,525,141",38.36,4.91,
